stage	tx	thing	value	x	mouse
pre	active ASO 1	-PK	0.13	1	1
pre	active ASO 1	-PK	0.14	1	2
pre	active ASO 1	-PK	0.05	1	1
pre	active ASO 1	-PK	0.07	1	2
pre	active ASO 1	-PK	0.16	1	1
pre	active ASO 1	-PK	0.22	1	2
pre	active ASO 2	-PK	0.13	2	1
pre	active ASO 2	-PK	0.15	2	2
pre	active ASO 2	-PK	0.07	2	1
pre	active ASO 2	-PK	0.1	2	2
pre	active ASO 2	-PK	0.25	2	1
pre	active ASO 2	-PK	0.35	2	2
term	active ASO 1	-PK	0.9	3	1
term	active ASO 1	-PK	0.27	3	2
term	active ASO 1	-PK	0.79	3	1
term	active ASO 1	-PK	0.48	3	2
term	active ASO 2	-PK	0.38	4	1
term	active ASO 2	-PK	0.58	4	2
term	active ASO 2	-PK	0.74	4	1
term	active ASO 2	-PK	0.92	4	2
term	control ASO	-PK	0.75	5	1
term	control ASO	-PK	0.7	5	2
term	control ASO	-PK	1.99	5	1
term	control ASO	-PK	1.66	5	2
term	control ASO	-PK	1.61	5	1
term	control ASO	-PK	1.45	5	2
term	saline	-PK	1.04	6	1
term	saline	-PK	0.96	6	2
term	saline	-PK	0.56	6	1
term	saline	-PK	1.44	6	2
term	saline	-PK	0.77	6	1
term	saline	-PK	1.23	6	2
	uninfected	-PK	0.42	7	1
	uninfected	-PK	0.43	7	2
pre	active ASO 1	+PK	0.1	1	1
pre	active ASO 1	+PK	0.08	1	2
pre	active ASO 1	+PK	0.13	1	1
pre	active ASO 1	+PK	0.12	1	2
pre	active ASO 1	+PK	0.09	1	1
pre	active ASO 1	+PK	0.22	1	2
pre	active ASO 2	+PK	0.09	2	1
pre	active ASO 2	+PK	0.07	2	2
pre	active ASO 2	+PK	0.25	2	1
pre	active ASO 2	+PK	0.2	2	2
pre	active ASO 2	+PK	0.12	2	1
pre	active ASO 2	+PK	0.17	2	2
term	active ASO 1	+PK	1.3	3	1
term	active ASO 1	+PK	1.25	3	2
term	active ASO 1	+PK	1.39	3	1
term	active ASO 1	+PK	0.91	3	2
term	active ASO 2	+PK	1.14	4	1
term	active ASO 2	+PK	1.14	4	2
term	active ASO 2	+PK	1.48	4	1
term	active ASO 2	+PK	2.1	4	2
term	control ASO	+PK	0.73	5	1
term	control ASO	+PK	0.75	5	2
term	control ASO	+PK	1.62	5	1
term	control ASO	+PK	1.47	5	2
term	control ASO	+PK	2.84	5	1
term	control ASO	+PK	2.46	5	2
term	saline	+PK	1.06	6	1
term	saline	+PK	0.94	6	2
term	saline	+PK	0.77	6	1
term	saline	+PK	1.23	6	2
term	saline	+PK	0.86	6	1
term	saline	+PK	1.14	6	2
	uninfected	+PK	0.04	7	1
	uninfected	+PK	0.05	7	2
